"Zeitstempel","chosenGame","firstGenerator","secondGenerator","preference","firstPlayedLevel","secondPlayedLevel","ID"
"2018/08/14 6:41:25 PM OEZ","frogs","improvedConstructiveLevelGenerator","geneticLevelGenerator","Second","0","4","414075"
"2018/08/14 6:41:53 PM OEZ","frogs","geneticLevelGenerator","mctsLevelGenerator","First","3","1","414075"
"2018/08/14 6:42:19 PM OEZ","frogs","mctsLevelGenerator","improvedConstructiveLevelGenerator","Second","3","2","414075"
"2018/08/14 6:42:32 PM OEZ","frogs","randomLevelGenerator","mctsLevelGenerator","Second","3","1","414075"
"2018/08/14 6:42:47 PM OEZ","aliens","randomLevelGenerator","improvedConstructiveLevelGenerator","Second","1","2","414075"
"2018/08/14 6:43:07 PM OEZ","aliens","geneticLevelGenerator","randomLevelGenerator","First","1","3","414075"
"2018/08/14 6:43:16 PM OEZ","aliens","randomLevelGenerator","mctsLevelGenerator","Equal","4","3","414075"
"2018/08/14 6:44:15 PM OEZ","aliens","geneticLevelGenerator","improvedConstructiveLevelGenerator","Second","4","3","414075"
"2018/08/14 6:44:31 PM OEZ","aliens","improvedConstructiveLevelGenerator","mctsLevelGenerator","Equal","4","2","414075"
"2018/08/14 6:45:06 PM OEZ","aliens","geneticLevelGenerator","mctsLevelGenerator","First","1","1","414075"
"2018/08/14 6:45:48 PM OEZ","zelda","improvedConstructiveLevelGenerator","randomLevelGenerator","First","0","0","414075"
"2018/08/14 6:46:16 PM OEZ","zelda","geneticLevelGenerator","improvedConstructiveLevelGenerator","Second","2","2","414075"
"2018/08/14 6:46:38 PM OEZ","zelda","mctsLevelGenerator","improvedConstructiveLevelGenerator","Second","4","4","414075"
"2018/08/14 6:46:57 PM OEZ","zelda","mctsLevelGenerator","randomLevelGenerator","First","0","1","414075"
"2018/08/14 6:47:14 PM OEZ","zelda","geneticLevelGenerator","mctsLevelGenerator","Equal","1","4","414075"
"2018/08/14 6:47:30 PM OEZ","zelda","geneticLevelGenerator","randomLevelGenerator","First","4","4","414075"
"2018/08/14 6:47:50 PM OEZ","zelda","mctsLevelGenerator","improvedConstructiveLevelGenerator","Second","3","3","414075"
"2018/08/14 6:48:15 PM OEZ","zelda","geneticLevelGenerator","improvedConstructiveLevelGenerator","Second","3","1","414075"
"2018/08/14 6:48:29 PM OEZ","zelda","randomLevelGenerator","mctsLevelGenerator","Neither","1","3","414075"
"2018/08/14 6:48:58 PM OEZ","zelda","randomLevelGenerator","improvedConstructiveLevelGenerator","Second","2","3","414075"
"2018/08/14 6:49:16 PM OEZ","zelda","geneticLevelGenerator","mctsLevelGenerator","Second","1","1","414075"
"2018/08/14 6:49:29 PM OEZ","zelda","randomLevelGenerator","geneticLevelGenerator","Second","2","1","414075"
"2018/08/14 6:49:52 PM OEZ","sokoban","randomLevelGenerator","improvedConstructiveLevelGenerator","Second","2","3","414075"
"2018/08/14 6:50:21 PM OEZ","sokoban","randomLevelGenerator","geneticLevelGenerator","Neither","1","4","414075"
"2018/08/14 6:51:15 PM OEZ","sokoban","randomLevelGenerator","mctsLevelGenerator","Neither","0","2","414075"
"2018/08/14 6:51:51 PM OEZ","sokoban","improvedConstructiveLevelGenerator","geneticLevelGenerator","Second","2","0","414075"
"2018/08/14 6:52:53 PM OEZ","sokoban","improvedConstructiveLevelGenerator","mctsLevelGenerator","Neither","0","3","414075"
"2018/08/14 6:53:51 PM OEZ","sokoban","geneticLevelGenerator","mctsLevelGenerator","Second","2","1","414075"
"2018/08/14 6:54:39 PM OEZ","sokoban","mctsLevelGenerator","randomLevelGenerator","Neither","1","0","414075"
"2018/08/14 6:55:19 PM OEZ","sokoban","randomLevelGenerator","geneticLevelGenerator","Neither","2","3","414075"
"2018/08/14 6:55:39 PM OEZ","sokoban","improvedConstructiveLevelGenerator","geneticLevelGenerator","First","3","4","414075"
"2018/08/14 6:56:13 PM OEZ","sokoban","improvedConstructiveLevelGenerator","randomLevelGenerator","First","0","4","414075"
"2018/08/14 6:57:13 PM OEZ","sokoban","geneticLevelGenerator","mctsLevelGenerator","Second","0","3","414075"
"2018/08/14 6:57:56 PM OEZ","sokoban","improvedConstructiveLevelGenerator","mctsLevelGenerator","Second","1","1","414075"
"2018/08/14 6:58:41 PM OEZ","aliens","mctsLevelGenerator","geneticLevelGenerator","Second","1","4","414075"
"2018/08/14 6:59:06 PM OEZ","aliens","geneticLevelGenerator","improvedConstructiveLevelGenerator","Equal","3","3","414075"
"2018/08/14 6:59:27 PM OEZ","aliens","randomLevelGenerator","geneticLevelGenerator","Second","4","4","414075"
"2018/08/14 6:59:37 PM OEZ","aliens","randomLevelGenerator","mctsLevelGenerator","Neither","2","0","414075"
"2018/08/14 6:59:50 PM OEZ","aliens","improvedConstructiveLevelGenerator","randomLevelGenerator","Neither","2","4","414075"
"2018/08/14 7:00:12 PM OEZ","aliens","improvedConstructiveLevelGenerator","mctsLevelGenerator","First","1","4","414075"
"2018/08/14 7:00:27 PM OEZ","zelda","geneticLevelGenerator","mctsLevelGenerator","Neither","2","2","414075"
"2018/08/14 7:00:45 PM OEZ","zelda","geneticLevelGenerator","randomLevelGenerator","Neither","1","2","414075"
"2018/08/14 7:01:04 PM OEZ","zelda","improvedConstructiveLevelGenerator","randomLevelGenerator","Neither","2","1","414075"
"2018/08/14 7:01:20 PM OEZ","zelda","mctsLevelGenerator","improvedConstructiveLevelGenerator","Second","1","1","414075"
"2018/08/14 7:01:37 PM OEZ","zelda","mctsLevelGenerator","randomLevelGenerator","First","1","0","414075"
"2018/08/14 7:01:58 PM OEZ","zelda","improvedConstructiveLevelGenerator","geneticLevelGenerator","First","2","2","414075"
"2018/08/14 7:02:42 PM OEZ","sokoban","randomLevelGenerator","mctsLevelGenerator","Second","2","1","414075"
"2018/08/14 7:03:06 PM OEZ","sokoban","randomLevelGenerator","geneticLevelGenerator","Second","2","2","414075"
"2018/08/14 7:03:39 PM OEZ","sokoban","mctsLevelGenerator","geneticLevelGenerator","Second","2","4","414075"
"2018/08/14 7:04:03 PM OEZ","sokoban","geneticLevelGenerator","improvedConstructiveLevelGenerator","Second","1","1","414075"
"2018/08/14 7:04:21 PM OEZ","sokoban","improvedConstructiveLevelGenerator","randomLevelGenerator","Neither","1","1","414075"
"2018/08/14 7:04:42 PM OEZ","sokoban","improvedConstructiveLevelGenerator","mctsLevelGenerator","Second","2","4","414075"
"2018/08/14 7:05:01 PM OEZ","aliens","randomLevelGenerator","improvedConstructiveLevelGenerator","Second","4","0","414075"
"2018/08/14 7:05:10 PM OEZ","aliens","mctsLevelGenerator","randomLevelGenerator","First","4","4","414075"
"2018/08/14 7:05:53 PM OEZ","aliens","improvedConstructiveLevelGenerator","geneticLevelGenerator","Second","0","3","414075"
"2018/08/14 7:06:18 PM OEZ","aliens","randomLevelGenerator","geneticLevelGenerator","Second","0","4","414075"
"2018/08/14 7:06:41 PM OEZ","aliens","mctsLevelGenerator","improvedConstructiveLevelGenerator","Second","1","3","414075"
"2018/08/14 7:06:52 PM OEZ","aliens","geneticLevelGenerator","mctsLevelGenerator","Neither","0","1","414075"
"2018/08/14 7:07:05 PM OEZ","aliens","geneticLevelGenerator","mctsLevelGenerator","Second","0","2","414075"
"2018/08/14 7:07:13 PM OEZ","aliens","mctsLevelGenerator","improvedConstructiveLevelGenerator","Neither","1","3","414075"
